DPWH Flood Control — National Budget & Key Figures,,,,,
Sources: Wikipedia (Flood control projects scandal) · Senate Blue Ribbon Committee · COA · Rappler · BetterGov.ph,,,,,
Period,Description,Amount (PHP),Amount (USD),Source,Significance
Jul 2022 – May 2025,Total Marcos admin flood mitigation budget (nationwide),"545,600,000,000","11,080,000,000",Senate inquiry / Malacañang disclosure,"18% captured by 15 out of 2,409 contractors"
Jul 2022 – May 2025,"Metro Manila flood control projects (1,058 projects)","52,480,000,000",,Rappler / BetterGov.ph,
Jul 2022 – May 2025,Top 15 contractors' share of national flood budget,"100,000,000,000","2,030,000,000",Malacañang disclosure,18% of ?545.6B total
Jul 2022 – May 2025,Quezon City DPWH flood projects (331 projects),"17,000,000,000","345,180,000","QCG Dept. of Engineering, Sept 2025","331 of 3,431 in Roberto's NCR dataset"
Jul 2022 – May 2025,Muntinlupa flood control budget (68 projects),"2,882,504,901",,Roberto dashboard (screenshot),Lowest coverage score: 0.4682
2025 SONA,Total flood control projects reported by Marcos,"5,500+ projects",,2025 State of the Nation Address,?500B+ over 13 years planned
2025,Locally funded flood control removed from 2026 NEP,"252,000,000,000",,DPWH / Rappler Sept 17 2025,Significant budget cut
2025,Foreign-assisted flood control retained in 2026 NEP,"15,770,000,000",,DPWH,
2025,Projects vetoed by Marcos from 2025 budget,"16,700,000,000","339,090,000",Marcos veto,Cited as redundant or misplaced
2023–2024,Unprogrammed funds released for DPWH priority infra,"214,000,000,000","4,350,000,000",Wikipedia,Source of corruption concerns per lawmakers
2026,Unprogrammed funds in proposed 2026 budget,"249,000,000,000","5,060,000,000",Senate / Rappler,"Flagged by Senators Lacson, Gatchalian"
2022–2025,Bulacan: ~45% of Central Luzon flood control budget,"247,000,000,000",,Wikipedia / COA,Focal point of ghost project allegations
2022–2025,Davao City 1st district (Paolo Duterte),"51,000,000,000","1,040,000,000",Budget records,Raised congressional scrutiny
Sept 18 2025,COA fraud audit — 4 Bulacan projects submitted to Ombudsman,"389,600,000","7,910,000",COA press release,
Sept 26 2025,Bulacan graft/malversation charges filed,"360,000,000","7,310,000",COA fraud audit reports,"Contractors: Syms, Topnotch, Beam Team"
