DPWH Flood Control — Notable Contractors (Metro Manila & National),,,,,
Sources: BetterGov.ph (NCR top contractors) · Rappler · Wikipedia · Senate Blue Ribbon Committee hearings,,,,,
Contractor,Scope,Projects,Contract Value (PHP),Flag / Finding,Source
Eight J's Construction Services,NCR Flood Control,37,,Top NCR contractor by project count,Rappler / BetterGov.ph
Jelsie Construction & Supply,NCR Flood Control,26,,,Rappler / BetterGov.ph
Dahl Construction Corp.,NCR Flood Control,23,,,Rappler / BetterGov.ph
IM Construction Corporation,NCR Flood Control,23,,Also in QCG location-error contractor list,Rappler / BetterGov.ph
E.F. Chua Construction Inc.,NCR Flood Control,20,,,Rappler / BetterGov.ph
Sunwest Inc. (owned by Zaldy Co),Nationwide,79,"10,150,000,000",Linked to Ako Bicol party-list; Co family; daughter Claudine Co controversy,Senate / Wikipedia / Rappler
Hi-Tone Construction (Christopher Co),Nationwide,,,Co family; construction license revoked Sept 2025,Senate / Wikipedia
St. Timothy Construction (Curlee Discaya),Nationwide,,,Discaya couple; 9 firms bid same projects; luxury vehicles controversy,Senate Blue Ribbon / Wikipedia
Alpha & Omega Gen. Contractor (Sarah Discaya),Nationwide,,,Sarah Discaya admitted 9 firms bid simultaneously at Senate hearing Sept 1 2025,Senate Blue Ribbon
Sto. Cristo Construction (Noel Cruz),Nationwide,,"3,500,000,000",Family secured ?3.5B 2022–2024; daughter Jammy Cruz luxury bag controversy,Wikipedia / Rappler
Wawao Builders,Bulacan,,"9,000,000,000",?9B Bulacan contracts; ghost projects alleged by DPWH officials,COA / Wikipedia
Syms Construction Trading,Bulacan,1,"92,900,000","COA fraud audit — Angat River, Brgy Santo Cristo / Taal",COA Sept 26 2025
Topnotch Catalyst Builders Inc.,Bulacan,2,"168,000,000",COA fraud audit — Bocaue River slope protection,COA Sept 26 2025
Beam Team Developer Specialist Inc.,Bulacan,,,JV with Topnotch on Bocaue River projects; COA fraud audit,COA Sept 26 2025
"CLTG Builders (Desiderio Go, father of Sen. Bong Go)",Davao Region,5,"816,980,000",JV with Discaya on 5 road projects; Davao Region 2017,Wikipedia / Rappler
E.L. Torres Construction and Trading Inc.,Quezon City,9,"524,319,442",Most projects with location errors in QCG audit,QCG Dept. of Engineering
C.E.M. Construction Inc.,Quezon City,4,"96,055,774",Location errors in QCG audit,QCG Dept. of Engineering
Altius Trading & Construction,Quezon City,4,"101,433,277",Location errors in QCG audit,QCG Dept. of Engineering
Elite General Contractor & Development Corp.,Quezon City,3,"189,138,314",Location errors in QCG audit,QCG Dept. of Engineering
Alpha & Omega Gen. Contractor & Development Corp.,Quezon City,3,"191,082,416",Also top-15 national; Alpha & Omega QC location errors,QCG / Senate
